symbol,datetime,Open,High,Low,Close,Volume
Q_NF1,20200731 12:10:00,11101.9,11108.2,11101.9,11106.4,6677625
Q_NF1,20200731 12:11:00,11106.7,11111.7,11105.0,11107.0,6705375
Q_NF1,20200731 12:12:00,11105.05,11110.0,11105.0,11110.0,6723450
Q_NF1,20200731 12:13:00,11110.0,11110.0,11096.9,11097.1,6750000
Q_NF1,20200731 12:14:00,11100.0,11100.7,11092.0,11095.85,6775950
Q_NF1,20200731 12:15:00,11095.75,11101.95,11095.75,11099.8,6788700
Q_NF1,20200731 12:16:00,11099.8,11100.0,11088.6,11092.0,6821775
Q_NF1,20200731 12:17:00,11092.0,11093.9,11088.6,11093.0,6845625
Q_NF1,20200731 12:18:00,11093.0,11095.6,11092.0,11095.6,6855525
Q_NF1,20200731 12:19:00,11097.9,11103.5,11095.0,11103.5,6884025
Q_NF1,20200731 12:20:00,11105.95,11114.0,11102.75,11110.15,6923475
Q_NF1,20200731 12:21:00,11110.1,11111.85,11106.0,11110.6,6951525
Q_NF1,20200731 12:22:00,11110.6,11110.75,11106.25,11107.8,6969750
Q_NF1,20200731 12:23:00,11107.8,11115.0,11106.1,11115.0,6986925
Q_NF1,20200731 12:24:00,11115.0,11115.0,11098.6,11099.6,7020075
Q_NF1,20200731 12:25:00,11099.1,11102.75,11081.1,11092.55,7076625
Q_NF1,20200731 12:26:00,11091.0,11091.75,11081.0,11089.45,7110300
Q_NF1,20200731 12:27:00,11087.8,11089.45,11081.0,11084.0,7127250
Q_NF1,20200731 12:28:00,11084.85,11088.75,11082.6,11084.55,7142700
Q_NF1,20200731 12:29:00,11084.55,11092.7,11084.55,11088.1,7154775
Q_NF1,20200731 12:30:00,11087.6,11103.75,11084.0,11095.0,7182300
Q_NF1,20200731 12:31:00,11096.0,11099.9,11095.0,11098.0,7197675
Q_NF1,20200731 12:32:00,11099.45,11099.45,11092.0,11096.3,7205700
Q_NF1,20200731 12:33:00,11092.9,11096.3,11085.85,11091.0,7221600
Q_NF1,20200731 12:34:00,11091.1,11092.45,11085.0,11087.45,7234275
Q_NF1,20200731 12:35:00,11087.45,11095.0,11083.0,11095.0,7252425
Q_NF1,20200731 12:36:00,11094.0,11095.9,11089.05,11090.55,7270800
Q_NF1,20200731 12:37:00,11091.45,11091.45,11085.0,11086.0,7289550
Q_NF1,20200731 12:38:00,11087.9,11090.0,11082.65,11083.5,7303275
Q_NF1,20200731 12:39:00,11083.8,11091.15,11082.55,11083.0,7316775
Q_NF1,20200731 12:40:00,11084.8,11088.0,11081.8,11085.4,7325850
Q_NF1,20200731 12:41:00,11086.5,11087.5,11082.3,11082.75,7340550
Q_NF1,20200731 12:42:00,11082.75,11087.0,11075.85,11079.0,7387800
Q_NF1,20200731 12:43:00,11076.3,11078.0,11070.55,11071.0,7424700
Q_NF1,20200731 12:44:00,11074.1,11080.0,11072.0,11072.0,7448850
Q_NF1,20200731 12:45:00,11073.0,11073.8,11063.8,11067.0,7515150
Q_NF1,20200731 12:46:00,11067.0,11072.4,11063.9,11072.4,7558875
Q_NF1,20200731 12:47:00,11071.7,11076.0,11068.35,11073.5,7590900
Q_NF1,20200731 12:48:00,11073.0,11075.85,11068.45,11070.7,7613325
Q_NF1,20200731 12:49:00,11070.7,11072.0,11066.3,11066.3,7642725
Q_NF1,20200731 12:50:00,11066.45,11067.05,11060.0,11065.0,7695450
Q_NF1,20200731 12:51:00,11063.25,11074.7,11062.95,11069.15,7733175
Q_NF1,20200731 12:52:00,11068.0,11079.2,11067.4,11078.25,7756650
Q_NF1,20200731 12:53:00,11077.25,11082.8,11076.25,11078.0,7785375
Q_NF1,20200731 12:54:00,11079.2,11086.95,11076.4,11079.05,7824825
Q_NF1,20200731 12:55:00,11080.0,11086.35,11079.05,11081.0,7842900
Q_NF1,20200731 12:56:00,11081.4,11083.65,11075.0,11075.0,7862025
Q_NF1,20200731 12:57:00,11075.0,11079.2,11072.8,11076.45,7877100
Q_NF1,20200731 12:58:00,11076.45,11091.45,11074.75,11091.45,7901100
Q_NF1,20200731 12:59:00,11092.45,11092.55,11084.3,11084.3,7928325
Q_NF1,20200731 13:00:00,11086.45,11093.95,11083.6,11092.5,7951500
Q_NF1,20200731 13:01:00,11093.3,11098.2,11091.0,11092.0,7986300
Q_NF1,20200731 13:02:00,11092.0,11096.0,11087.0,11096.0,8001825
Q_NF1,20200731 13:03:00,11095.0,11095.0,11087.0,11088.0,8031525
Q_NF1,20200731 13:04:00,11089.0,11090.75,11077.45,11080.15,8051850
Q_NF1,20200731 13:05:00,11082.05,11089.0,11077.0,11087.5,8074425
Q_NF1,20200731 13:06:00,11087.5,11092.0,11082.25,11084.6,8090100
Q_NF1,20200731 13:07:00,11084.6,11088.9,11082.6,11083.05,8098200
Q_NF1,20200731 13:08:00,11084.55,11084.55,11078.6,11081.0,8111100
Q_NF1,20200731 13:09:00,11081.0,11083.05,11076.85,11083.05,8123400
Q_NF1,20200731 13:10:00,11083.45,11091.75,11082.7,11085.05,8146275
Q_NF1,20200731 13:11:00,11087.4,11092.8,11083.25,11091.45,8155500
Q_NF1,20200731 13:12:00,11090.25,11092.65,11086.45,11091.6,8165925
Q_NF1,20200731 13:13:00,11091.6,11091.6,11084.0,11088.2,8176425
Q_NF1,20200731 13:14:00,11088.2,11090.0,11084.7,11085.85,8183250
Q_NF1,20200731 13:15:00,11087.5,11089.5,11081.25,11083.9,8197125
Q_NF1,20200731 13:16:00,11083.9,11083.9,11071.65,11074.35,8225775
Q_NF1,20200731 13:17:00,11077.4,11078.75,11070.0,11075.0,8253225
Q_NF1,20200731 13:18:00,11075.0,11079.0,11072.8,11074.3,8266725
Q_NF1,20200731 13:19:00,11074.3,11082.7,11073.8,11078.55,8285325
Q_NF1,20200731 13:20:00,11079.0,11081.3,11072.0,11072.7,8310075
Q_NF1,20200731 13:21:00,11073.95,11076.5,11070.0,11073.05,8332575
Q_NF1,20200731 13:22:00,11072.5,11078.0,11072.0,11074.7,8351025
Q_NF1,20200731 13:23:00,11072.6,11077.0,11066.45,11076.45,8406825
Q_NF1,20200731 13:24:00,11077.0,11079.7,11072.75,11078.5,8418825
Q_NF1,20200731 13:25:00,11077.9,11077.9,11073.75,11075.05,8429025
Q_NF1,20200731 13:26:00,11075.05,11075.05,11070.0,11074.9,8443275
Q_NF1,20200731 13:27:00,11074.9,11080.7,11073.0,11077.0,8460300
Q_NF1,20200731 13:28:00,11077.0,11079.6,11074.7,11077.3,8472150
Q_NF1,20200731 13:29:00,11077.15,11082.45,11074.5,11079.55,8488425
